tweet_text,sentiment_expected,sentiment_actual
&lt;3 u #microsoft!!!,positive,neutral
How #Apple eclipsed #Microsoft http://t.co/KxboqsKj,negative,neutral
Starting to doubt #google android policy: no released android sources since 2.3.3! Curious for an opensource project to say the least...,negative,neutral
@apple so why is the ios support for 2nd gen ipods discontinued? It is only 3 years old? Give us an ios update please!,neutral,negative
Gonna dump one of my gmail accounts. not only do I get tons of spam I get tons of false positives. Not cool. #Google,negative,neutral
"Wtf is a tweet , sounds like tha dam cartoon network #tweeted #tweeter #twitter #twitterer",negative,neutral
@jessecablek I want it too. Now just wondering who will be carrying it in November. Or direct purchase from #google / #samsung,positive,neutral
@Jake_Gyllenhaal So you've made up with @Apple?,neutral,negative
"I agree with @wellis68 that the ""Hangouts"" on #Google+ are friggin' awesome!”",positive,neutral
AsiaClassifiedToday Apple blames iPhone rumours for share dive - TVNZ: Globe and MailApple bl... http://t.co/hlxJVMUr #asia #google #biz,irrelevant,positive
".@chrispirillo Re. #twitter 1,402,239 positive opinions http://t.co/uUd7ea3v? vs. 688,546 negative http://t.co/Q7Kf5xKz?",neutral,positive
Distrust and angst amongst #Nokia employees against #Selop #Microsoft fixation. http://t.co/jkOTcrMb,negative,neutral
So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple,negative,neutral
#Microsoft presents #Omnitouch - http://t.co/ui0aD1FJ - Very impressive and futuristic technology!,positive,neutral
but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz,negative,neutral
"RT @sander_koers: #Google Apps vs. #Microsoft #Office 365: ""it is clear that Google Apps should be the top choice"" http://t.co/OySZmjVi #in",negative,neutral
OMG the #Android 4.0 SDK is available NOW @ http://t.co/OeUrmtLX!! #Google,positive,neutral
Welcome Skype to the #Microsoft family. We can do amazing things together. http://t.co/YKCHtu8h #welcomeskype,positive,neutral
Saints Row: The Third and doughnuts for dinner http://t.co/tZm4fD4w #microsoft #pc,irrelevant,neutral
#ai #google #ai #samsung,neutral,irrelevant
yumyumyum...I want Ice Cream Sandwich... #google #android,positive,neutral
It would be great If @Apple would send my new phone. #frustrated,negative,neutral
pinto el sueño #Twitter #OFF,neutral,irrelevant
AsiaClassifiedToday: Temasek to raise up to $800 million with bond offer - Straits Times: Tel... http://t.co/bdBPJDh2 #asia #google #ads,irrelevant,positive
mm but yeo .. #twitter .. free up @_tashaaiWESTEND ! free up @_tashaaiWESTEND ! free up @_tashaaiWESTEND !,irrelevant,positive
Reconnaissance faciale poir debloquer ton phone :-)  #google #android,irrelevant,positive
"Ok this @Apple software update for the #iphone is taking waaaaay too long!
#annoyed",negative,neutral
"#Job #ICT System Administrator Windows: GSI Consultants, Zug http://t.co/96Vi7GIu #Microsoft #IT",neutral,irrelevant
#google #icecreamsandwich totally blowing #Apple iShit away...,positive,irrelevant
"TypeBuilder be gone, Roslyn CTP is here! Creating types without TypeBuilder! http://t.co/cilZFP9B #Roslyn #Microsoft",irrelevant,negative
"I gave a try to Windows 8 Dev. Preview and it was good but the UI is way too messy right now, waiting for the Beta #microsoft #windows8",negative,neutral
Esse prof acha que ninguém sabe mexer no #microsoft word,neutral,irrelevant
just watched the #GalaxyNexus announcement by #Google and #Samsung.. The only thing keeping me from buying? It's only on #Verizon. #FAIL,negative,neutral
@WPdesignteam @joebelfiore @windowsphone - You guys just taught #Google #Android how to design a decent phone. So much Metro. Good Job guys!,positive,neutral
So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,positive,neutral
"@immad_immad #google, always thinking ahead",positive,neutral
"well.....#google's #icecreamsandwich and new accompanying phone are, as usual, neat, but nothing ground-breaking",positive,negative
#google you do have a journ degree correct? RT @SZimms: Who know how to format an annotated bibliography in APA style?,irrelevant,neutral
I hate #Microsoft PowerPoint!,negative,neutral
@DylawnWard 100 tweets already? Damn son #twitter #whore #twitwhore #gi #get #it?,neutral,irrelevant
@apple needs to hurry up and release #iTunesMatch,negative,neutral
Waz Sup #Twitter,neutral,irrelevant
I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple,negative,neutral
Blog Post: Cool Tool : Microsoft Mouse Without Borders. http://t.co/uM860jFh #Tools #Utilities #microsoft,positive,neutral
Fine tune your #SEO strategy with the #Google Panda 2.5.2 update. Find out how it can affect your business rankings http://t.co/TeRUK0bp,irrelevant,neutral
@apple @siri is efffing amazing!!,positive,negative
#Google #Samsung #GalaxyNexus http://t.co/1C5iEpPk,neutral,irrelevant
Okay its officially a #sausagefest here @thursdays it really makes no sense based on the feedback from #google?? Moving on...,irrelevant,neutral
#Microsoft Please check out or site and join please. http://t.co/dRR4oq1Z we need more ppl maybe u can help,irrelevant,neutral
#Twitter y #Facebook OFF,negative,irrelevant
#Microsoft store here I come to spend my hard earned cash. #vslive,positive,neutral
@mdhughes I have the strangest feeling we've done this exact thing before. #arial #microsoft,neutral,positive
#game #microsoft #gamer #new experience #halo 2 #microsoft insider #halo 2 hacks #beta test team http://t.co/uk8sW8HZ Halo 2 Hacks,irrelevant,negative
I cannot wait for a new #ICS phone!!! #Google #android,positive,neutral
"From it's laughable file: #google will #encrypt #search results BUT only if U have ""logged in"" so they can maximize their #data #collection!",negative,neutral
2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff.,negative,neutral
Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,positive,neutral
Use Caution When Sharing on Social Networks http://t.co/SXNoBASn via @LarryMagid #youth #facebook #google+,irrelevant,neutral
GN #Twitter.......z.z.z.z.z.z Z  Z z z z,neutral,irrelevant
"I absolutely love my iPhone 4S. Thank you, Steve and @apple.",positive,neutral
I keep forgettin how much i really like #Twitter lol,positive,neutral
"@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world",negative,neutral
Microsoft explains new improvements in Windows 8 Start screen search: http://t.co/pq67GRra #buildingwindows8 @buildwindows8 #tech #microsoft,positive,neutral
@apple has changed life.,positive,neutral
"ICS looks awesome, please let me have it on my phone!  #android #google #motorola",positive,neutral
#fail on the face recognition not working #google #samsung,negative,neutral
"Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it.",negative,neutral
RT @eboyee: Dostupan SDK - WOW R.E.S.P.E.C.T. #Google #IceCreamSandwich,positive,neutral
Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii,negative,neutral
I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye,negative,neutral
#iCloud set up was flawless and works like a champ! To the Cloud @Apple,positive,neutral
"@SmartKeitai Yeah I saw it, @Google is taking seriously what #Microsoft has done with #Metro UI but yeah looks good Android 4.0",positive,neutral
#Microsoft #PowerPivot gives users the power to create compelling self-service #BI solutions. #infinitywebinar,positive,neutral
Newt Gingrich: #NewtGingrich  #Newt #Gingrich http://t.co/bZQS2pV3 #google #youtube,irrelevant,positive
#Windows8 #Microsoft please implement a UAC prompt when a non elevated process drops on elevated process instead of failing silently.,neutral,negative
Excelente articulo! RT @teresitacc: Interesting read - How #Apple eclipsed #Microsoft http://t.co/RhNU1VaR via @guardian (cc: @elcheicon),irrelevant,neutral
"#Android #Google Ice Cream Sandwich Feature Closer Look - Roboto Type Face Is ""A Pleasure"" To Read http://t.co/DJsp2G5B #DhilipSiva",positive,neutral
Fregon el nuevo facebook para iPod/iPhone haha alomejor ya tiene rato pero yo lo acabo de actualizar @apple,neutral,irrelevant
Gotta love #Twitter - shit goes round the World like lightning-on-speed...,positive,neutral
"Video: #Google wallet, see the wow effect http://t.co/mcW78VtG",positive,neutral
"Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone",negative,neutral
"@nansen Man, that sux! @apple io5 upgrade a total #fail for you!",negative,neutral
Thank god Gmail app has been redesigned under Android 4.0. Conversations automatically expanded. #Google #Android #ICS,positive,neutral
#OmniTouch #Microsoft  http://t.co/qwk0YUrH via @youtube,neutral,irrelevant
"Another Gem from #Microsoft - Curate your personal history with  ""Project Greenwich"".  Available later this month. http://t.co/KgNrbVgp",positive,neutral
@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.,negative,neutral
.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,positive,neutral
@Apple do not buy an iPhone 4s that isn't in the store. THEY ARE NOT MADE YET AND DEFRAUDING YOU,neutral,negative
"Ice cream sandwich, really #google?",negative,positive
RT @ShariPaul_Kofax: @tomcastiglia Great job today! Engaging presentations from @HersheyTech #Kofax and @Collabware  at the #Microsoft T ...,irrelevant,neutral
"iphone users i reaaly feel sorry for you after i saw ice-cream sandwich #Android today, #Google #apple #Android #iPhone",positive,neutral
#WindowsPhone7 would get a lot more blog and review love if #Microsoft provided a tool to grab screenshots. It's nearly impossible #wpt,negative,neutral
Apple + Microsoft...The Difference: How #Apple Eclipsed #Microsoft @PSFK: http://t.co/Rmi8oSMi #brand #brands #marketing #innovation,negative,neutral
Buy more products of Hemp Jewelry Instructions now.Free ship http://t.co/928bPS4t@Lehmans @Apple @Peeler,irrelevant,negative
White Paper: EMC Automated Performance Optimization for #Microsoft Applications http://t.co/aIK3EjWT #EMC #powerlink credential needed,neutral,negative
Google Earth Helps Locate Salmonella Hotspots http://t.co/mcz9RSDf #google,positive,irrelevant
"http://t.co/9SWZtOM6 
#Twitter, faster than #earthquakes
تويتر أسرع من الزلزال! #funny #fast #tweet #earthquick #LOL",irrelevant,positive
"strange, i cannot put my newsstand app into any group. @apple wants to be our new paperboy #iOS #iphone",neutral,negative
S/O to #google for getting me through high school and college....you are appreciated,positive,neutral
"Exciting day, It's Ice cream Sandwich day ;) #Google #Android",positive,neutral
Kinect Sports 2 : Nos premières impressions http://t.co/lFXtQIVR #kinect #microsoft,irrelevant,neutral
@edbott you have sugar-coated the FSF secure boot reaction. This is blatant anti-#Microsoft propaganda.,positive,negative
Wow. Lots of negative comments about #windows8 on the @BuildWindows8 blog. I sure hope #Microsoft is listening #keepthedesktop,negative,neutral
"RT @tomcolontonio: Didn't it occur to @apple #apple that ppl share iTunes accounts amongst family's ?????
Wtf!!!!",negative,neutral
i love #google,positive,neutral
"Hey @apple why can't I share a reminder list from my iPhone?
Also why can't I login to the iCloud webpage to modify sharing from my phone?",negative,neutral
#Twitter'sMalfunctioningAgain,negative,neutral
Watching the Android announcement from Google and Samsung. IceCream Sandwich looks really interesting. http://t.co/oeZK9iV1 #google #android,positive,neutral
"…and only the first 23 images in my Photo Roll made it over? Seriously, @apple, how did you fuck this up so much?",negative,neutral
#google 话，丫的只有你 #apple 会抄么，俺一样会抄。天下一大抄。,irrelevant,neutral
"@gsmarena_com Talk, talk, talk... release the phone already, before they are completely obsolete #Nokia #Microsoft",neutral,negative
"@azee1v1 @apple @umber Better file info/easier to get to, duplication of files when importing. Categorizing files.",neutral,negative
"#Skype often crashing: #microsoft, what are you doing?",negative,neutral
Do the Creep #ahh @JokeAholic_P and @AmiraAldewick #google+dates,neutral,negative
Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #,negative,neutral
"Upgrading my #iPad to #iOS5. When @Apple said it could take a couple of hours to install and restore it, they weren't kidding.",neutral,negative
Loved the introduction of the Google Galaxy Nexus & Ice Cream Sandwich. Really looking forward to my new phone #android #ics #nexus #google,positive,neutral
"""Metro (design language)"" http://t.co/r7RdW1PH Microsoft took inspiration from King County Metro! #microsoft #metro #windows8 #bus",neutral,negative
"Maybe not the most efficient way to browse, but fun: #Google releases an Infinite Digital Bookcase http://t.co/X1qzeX7f by @MeghanKel",positive,neutral
@apple the iPhone 4s is great #genius,positive,neutral
Bill Gates to testify in Novel v. #Microsoft antitrust laws#UI t http://t.co/H0GscVZR,neutral,negative
"Apples to oranges maybe, but #Twitter is way more engaging than #FB. Content vs. Stalkerismo",positive,neutral
Uiiii Yo Quisiera Ser Tuu #GOOGLE,irrelevant,positive
Dancing bear @apple store Lincoln center http://t.co/XBmjUpMq,irrelevant,neutral
"Cream on the inside, clean on the outside. Ice Cream phone job. #Google",positive,neutral
#TeamFollowBack #iFollowBack #InstantFollowBack #Follow4Follow #network #tlow #twitter,irrelevant,neutral
"Mmm... #SmarterPhone RT @Android: Introducing Ice Cream Sandwich, the delicious new version of Android: http://t.co/AXl2K1Gs #ICS #google",positive,neutral
Shoutout to our New Twitter Friends &  #WelcomeToTwitter! Thanks to everyone following @xrvolume - #myspace #wordpress #Google+,irrelevant,neutral
It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5,negative,neutral
