tweet_text,sentiment
I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple,negative
Hinweis: Linkbuilding Kurs kostenlos  http://t.co/pwldYXVE #google,irrelevant
"@flambypaymie ok lang haha. ganun pa din naman e, kamustahan lang saka kausap dito sa #Twitter :))",irrelevant
http://t.co/gAPEyL5N #Harmonix #Microsoft,neutral
RT @Yvandavid: Que lo mataron por #Twitter ya RT @Yonopienso_: ¿Que le paso a Osmel?xD.,irrelevant
Bienvenida a #twitter @adyalessio asi q @christianstraw @afetati @Zul3Rivera den #Follow please!! X q hubo un error d dedo hace un rato!!,irrelevant
#Google & Samsung announced their (hopeful) rebuttal to iPhone 4S tonight... site shows nice specs but no carriers yet. http://t.co/Z8SDgUT9,neutral
Awwwwr me encanta #Twitter porque por este medio desquito todo mis corajes,irrelevant
RT @VentureBeat: #Ballmer: “We’ve picked our play” in #social with #Skype deal http://t.co/03IHBOgj #microsoft #xbox #in,neutral
Three UK to carry Samsung Galaxy Nexus http://t.co/SwvAcbxC  #android #google,neutral
"Stay young, stay foolish. But take ownership when u f*ck up, don't complain, and never give up. #resilience @apple",neutral
That was good but when is it coming out? What carriers? What pricepoints? #android #google,neutral
"#Termine am 20. Oktober ++ #ADVA, #Nokia und #Microsoft öffnen ihre Bücher http://t.co/aoZoNUKf",irrelevant
#Microsoft lanza sitio oficial de #Skype http://t.co/c3kGqpyR #JeryTecnologias #tecnología,irrelevant
[WebProNews Finance] #Yahoo Revenue Drop Attributed to #Microsoft Deal http://t.co/EOrOSstX,negative
Good luck to #CPG team RT @MindTree_PR: #MindTree Introduces mPromo #TradePromotion Solution on #Microsoft #Azure http://t.co/aTNnITtt  #CGT,neutral
#HTC Arrive #Windows Phone (#Sprint) Review http://t.co/CdkPyjZV #windowsphone7 #xboxlive #mobile #cdma #microsoft,neutral
"Thinking more, I want Android to do an iMessage service & for @Google & @Apple to interconnect. They would if the cared about their users.",neutral
RT @LCmediaHouse: #Google vs Facebook: Get the Whole Picture for Your Marketing http://t.co/tm2xaijB  #SocialMedia,neutral
"Big mo: In one week, @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet",neutral
Buenas noches #twitter,irrelevant
"#HPVirtualSystem for #Microsoft, latest from the $250 million I2A initiative #HPCI #cloudcomputing http://t.co/yx1R3WsX",neutral
enjoy  #Twitter Buzz Builds for the #Occupy_Wall_Street Movement [CHARTS] http://t.co/vKjwATSr great,neutral
RT @twandroid Prise de photo quasi instantannée #ouaaaaaaahhhhh #google #nexusprime,irrelevant
